
Number of training patterns: 800

Initial weights : w5 =   9.5799 w4 =   6.6507 w3 =   2.8357 w2 =   6.3874 w1 =   5.6378 w0 =   5.2085 
Training weights: w5 =   0.0336 w4 =   0.0237 w3 =  -0.0966 w2 =  -0.3769 w1 =  -0.0276 w0 =   3.0636 Iteration 491: Error Rate = 35.50%
Training weights: w5 =   0.0361 w4 =   0.0241 w3 =  -0.0965 w2 =  -0.3769 w1 =  -0.0278 w0 =   3.0599 Iteration 492: Error Rate = 38.38%
Training weights: w5 =   0.0386 w4 =   0.0306 w3 =  -0.0934 w2 =  -0.3707 w1 =  -0.0250 w0 =   3.0568 Iteration 493: Error Rate = 37.12%
Training weights: w5 =   0.0327 w4 =   0.0285 w3 =  -0.1000 w2 =  -0.3768 w1 =  -0.0323 w0 =   3.0526 Iteration 494: Error Rate = 34.75%
Training weights: w5 =   0.0336 w4 =   0.0231 w3 =  -0.1053 w2 =  -0.3794 w1 =  -0.0329 w0 =   3.0486 Iteration 495: Error Rate = 36.25%
Training weights: w5 =   0.0340 w4 =   0.0232 w3 =  -0.1063 w2 =  -0.3785 w1 =  -0.0297 w0 =   3.0453 Iteration 496: Error Rate = 36.88%
Training weights: w5 =   0.0437 w4 =   0.0277 w3 =  -0.0971 w2 =  -0.3735 w1 =  -0.0240 w0 =   3.0423 Iteration 497: Error Rate = 37.25%
Training weights: w5 =   0.0359 w4 =   0.0262 w3 =  -0.0987 w2 =  -0.3757 w1 =  -0.0274 w0 =   3.0385 Iteration 498: Error Rate = 35.50%
Training weights: w5 =   0.0368 w4 =   0.0243 w3 =  -0.1015 w2 =  -0.3749 w1 =  -0.0285 w0 =   3.0349 Iteration 499: Error Rate = 34.50%
Training weights: w5 =   0.0381 w4 =   0.0302 w3 =  -0.1039 w2 =  -0.3696 w1 =  -0.0142 w0 =   3.0320 Iteration 500: Error Rate = 37.38%
Training weights: w5 =   0.0320 w4 =   0.0264 w3 =  -0.1047 w2 =  -0.3741 w1 =  -0.0205 w0 =   3.0278 Iteration 501: Error Rate = 36.50%
Training weights: w5 =   0.0342 w4 =   0.0299 w3 =  -0.0993 w2 =  -0.3706 w1 =  -0.0201 w0 =   3.0247 Iteration 502: Error Rate = 34.88%
Training weights: w5 =   0.0375 w4 =   0.0285 w3 =  -0.0997 w2 =  -0.3711 w1 =  -0.0255 w0 =   3.0207 Iteration 503: Error Rate = 38.25%
Training weights: w5 =   0.0321 w4 =   0.0236 w3 =  -0.1030 w2 =  -0.3723 w1 =  -0.0233 w0 =   3.0171 Iteration 504: Error Rate = 34.25%
Training weights: w5 =   0.0283 w4 =   0.0221 w3 =  -0.1006 w2 =  -0.3715 w1 =  -0.0245 w0 =   3.0134 Iteration 505: Error Rate = 38.62%
Training weights: w5 =   0.0266 w4 =   0.0255 w3 =  -0.0980 w2 =  -0.3650 w1 =  -0.0206 w0 =   3.0107 Iteration 506: Error Rate = 35.38%
Training weights: w5 =   0.0303 w4 =   0.0248 w3 =  -0.1025 w2 =  -0.3661 w1 =  -0.0234 w0 =   3.0068 Iteration 507: Error Rate = 37.12%
Training weights: w5 =   0.0279 w4 =   0.0280 w3 =  -0.1005 w2 =  -0.3629 w1 =  -0.0226 w0 =   3.0037 Iteration 508: Error Rate = 34.62%
Training weights: w5 =   0.0265 w4 =   0.0299 w3 =  -0.0955 w2 =  -0.3650 w1 =  -0.0184 w0 =   3.0000 Iteration 509: Error Rate = 39.62%
Training weights: w5 =   0.0264 w4 =   0.0317 w3 =  -0.0932 w2 =  -0.3579 w1 =  -0.0152 w0 =   2.9969 Iteration 510: Error Rate = 37.88%
Training weights: w5 =   0.0316 w4 =   0.0253 w3 =  -0.0959 w2 =  -0.3596 w1 =  -0.0158 w0 =   2.9927 Iteration 511: Error Rate = 37.50%
Training weights: w5 =   0.0316 w4 =   0.0264 w3 =  -0.0968 w2 =  -0.3594 w1 =  -0.0218 w0 =   2.9889 Iteration 512: Error Rate = 38.12%
Training weights: w5 =   0.0358 w4 =   0.0249 w3 =  -0.0995 w2 =  -0.3587 w1 =  -0.0183 w0 =   2.9851 Iteration 513: Error Rate = 37.75%
Training weights: w5 =   0.0288 w4 =   0.0259 w3 =  -0.1007 w2 =  -0.3615 w1 =  -0.0180 w0 =   2.9811 Iteration 514: Error Rate = 37.00%
Training weights: w5 =   0.0357 w4 =   0.0286 w3 =  -0.0968 w2 =  -0.3567 w1 =  -0.0140 w0 =   2.9778 Iteration 515: Error Rate = 40.12%
Training weights: w5 =   0.0280 w4 =   0.0261 w3 =  -0.1011 w2 =  -0.3575 w1 =  -0.0164 w0 =   2.9740 Iteration 516: Error Rate = 35.50%
Training weights: w5 =   0.0254 w4 =   0.0326 w3 =  -0.1005 w2 =  -0.3588 w1 =  -0.0166 w0 =   2.9701 Iteration 517: Error Rate = 39.88%
Training weights: w5 =   0.0316 w4 =   0.0367 w3 =  -0.0971 w2 =  -0.3531 w1 =  -0.0132 w0 =   2.9668 Iteration 518: Error Rate = 39.62%
Training weights: w5 =   0.0234 w4 =   0.0263 w3 =  -0.1059 w2 =  -0.3591 w1 =  -0.0194 w0 =   2.9619 Iteration 519: Error Rate = 39.38%
Training weights: w5 =   0.0274 w4 =   0.0275 w3 =  -0.1037 w2 =  -0.3570 w1 =  -0.0229 w0 =   2.9584 Iteration 520: Error Rate = 36.88%
Training weights: w5 =   0.0294 w4 =   0.0270 w3 =  -0.1032 w2 =  -0.3581 w1 =  -0.0192 w0 =   2.9546 Iteration 521: Error Rate = 38.50%
Training weights: w5 =   0.0270 w4 =   0.0282 w3 =  -0.1007 w2 =  -0.3610 w1 =  -0.0217 w0 =   2.9505 Iteration 522: Error Rate = 38.38%
Training weights: w5 =   0.0276 w4 =   0.0253 w3 =  -0.0998 w2 =  -0.3632 w1 =  -0.0243 w0 =   2.9469 Iteration 523: Error Rate = 33.75%
Training weights: w5 =   0.0276 w4 =   0.0217 w3 =  -0.1029 w2 =  -0.3659 w1 =  -0.0259 w0 =   2.9426 Iteration 524: Error Rate = 38.62%
Training weights: w5 =   0.0278 w4 =   0.0219 w3 =  -0.1014 w2 =  -0.3648 w1 =  -0.0209 w0 =   2.9393 Iteration 525: Error Rate = 34.88%
Training weights: w5 =   0.0310 w4 =   0.0316 w3 =  -0.0992 w2 =  -0.3568 w1 =  -0.0196 w0 =   2.9366 Iteration 526: Error Rate = 36.38%
Training weights: w5 =   0.0333 w4 =   0.0343 w3 =  -0.0968 w2 =  -0.3564 w1 =  -0.0146 w0 =   2.9331 Iteration 527: Error Rate = 36.12%
Training weights: w5 =   0.0277 w4 =   0.0297 w3 =  -0.0980 w2 =  -0.3592 w1 =  -0.0210 w0 =   2.9286 Iteration 528: Error Rate = 39.88%
Training weights: w5 =   0.0301 w4 =   0.0347 w3 =  -0.0913 w2 =  -0.3536 w1 =  -0.0171 w0 =   2.9252 Iteration 529: Error Rate = 40.50%
Training weights: w5 =   0.0252 w4 =   0.0279 w3 =  -0.0927 w2 =  -0.3562 w1 =  -0.0181 w0 =   2.9209 Iteration 530: Error Rate = 36.88%
Training weights: w5 =   0.0274 w4 =   0.0297 w3 =  -0.0957 w2 =  -0.3539 w1 =  -0.0194 w0 =   2.9173 Iteration 531: Error Rate = 37.75%
Training weights: w5 =   0.0261 w4 =   0.0307 w3 =  -0.0943 w2 =  -0.3487 w1 =  -0.0174 w0 =   2.9143 Iteration 532: Error Rate = 35.50%
Training weights: w5 =   0.0209 w4 =   0.0224 w3 =  -0.0995 w2 =  -0.3564 w1 =  -0.0238 w0 =   2.9098 Iteration 533: Error Rate = 36.38%
Training weights: w5 =   0.0183 w4 =   0.0265 w3 =  -0.0981 w2 =  -0.3524 w1 =  -0.0242 w0 =   2.9069 Iteration 534: Error Rate = 36.62%
Training weights: w5 =   0.0251 w4 =   0.0303 w3 =  -0.0957 w2 =  -0.3478 w1 =  -0.0220 w0 =   2.9036 Iteration 535: Error Rate = 39.12%
Training weights: w5 =   0.0290 w4 =   0.0326 w3 =  -0.0913 w2 =  -0.3420 w1 =  -0.0171 w0 =   2.9003 Iteration 536: Error Rate = 39.88%
Training weights: w5 =   0.0284 w4 =   0.0280 w3 =  -0.0961 w2 =  -0.3463 w1 =  -0.0191 w0 =   2.8958 Iteration 537: Error Rate = 38.88%
Training weights: w5 =   0.0334 w4 =   0.0228 w3 =  -0.0937 w2 =  -0.3491 w1 =  -0.0188 w0 =   2.8922 Iteration 538: Error Rate = 35.62%
Training weights: w5 =   0.0286 w4 =   0.0248 w3 =  -0.0923 w2 =  -0.3464 w1 =  -0.0129 w0 =   2.8889 Iteration 539: Error Rate = 34.88%
Training weights: w5 =   0.0293 w4 =   0.0276 w3 =  -0.0940 w2 =  -0.3467 w1 =  -0.0115 w0 =   2.8848 Iteration 540: Error Rate = 39.12%
Training weights: w5 =   0.0211 w4 =   0.0234 w3 =  -0.0993 w2 =  -0.3511 w1 =  -0.0130 w0 =   2.8805 Iteration 541: Error Rate = 37.38%
Training weights: w5 =   0.0278 w4 =   0.0242 w3 =  -0.0997 w2 =  -0.3476 w1 =  -0.0111 w0 =   2.8769 Iteration 542: Error Rate = 38.75%
Training weights: w5 =   0.0297 w4 =   0.0208 w3 =  -0.0957 w2 =  -0.3485 w1 =  -0.0133 w0 =   2.8735 Iteration 543: Error Rate = 33.50%
Training weights: w5 =   0.0272 w4 =   0.0184 w3 =  -0.0960 w2 =  -0.3496 w1 =  -0.0158 w0 =   2.8694 Iteration 544: Error Rate = 38.12%
Training weights: w5 =   0.0297 w4 =   0.0193 w3 =  -0.0925 w2 =  -0.3480 w1 =  -0.0154 w0 =   2.8661 Iteration 545: Error Rate = 36.12%
Training weights: w5 =   0.0249 w4 =   0.0234 w3 =  -0.0997 w2 =  -0.3461 w1 =  -0.0106 w0 =   2.8623 Iteration 546: Error Rate = 40.25%
Training weights: w5 =   0.0280 w4 =   0.0270 w3 =  -0.0962 w2 =  -0.3441 w1 =  -0.0099 w0 =   2.8589 Iteration 547: Error Rate = 37.50%
Training weights: w5 =   0.0326 w4 =   0.0222 w3 =  -0.0982 w2 =  -0.3482 w1 =  -0.0131 w0 =   2.8547 Iteration 548: Error Rate = 38.00%
Training weights: w5 =   0.0352 w4 =   0.0324 w3 =  -0.0946 w2 =  -0.3433 w1 =  -0.0068 w0 =   2.8519 Iteration 549: Error Rate = 38.00%
Training weights: w5 =   0.0335 w4 =   0.0266 w3 =  -0.0968 w2 =  -0.3502 w1 =  -0.0139 w0 =   2.8477 Iteration 550: Error Rate = 35.00%
Training weights: w5 =   0.0332 w4 =   0.0241 w3 =  -0.0962 w2 =  -0.3486 w1 =  -0.0161 w0 =   2.8440 Iteration 551: Error Rate = 37.88%
Training weights: w5 =   0.0251 w4 =   0.0209 w3 =  -0.0958 w2 =  -0.3533 w1 =  -0.0154 w0 =   2.8400 Iteration 552: Error Rate = 37.25%
Training weights: w5 =   0.0293 w4 =   0.0274 w3 =  -0.0933 w2 =  -0.3466 w1 =  -0.0125 w0 =   2.8370 Iteration 553: Error Rate = 37.75%
Training weights: w5 =   0.0267 w4 =   0.0179 w3 =  -0.1005 w2 =  -0.3504 w1 =  -0.0146 w0 =   2.8328 Iteration 554: Error Rate = 35.25%
Training weights: w5 =   0.0279 w4 =   0.0244 w3 =  -0.0978 w2 =  -0.3450 w1 =  -0.0091 w0 =   2.8298 Iteration 555: Error Rate = 37.25%
Training weights: w5 =   0.0297 w4 =   0.0234 w3 =  -0.0993 w2 =  -0.3444 w1 =  -0.0105 w0 =   2.8259 Iteration 556: Error Rate = 39.38%
Training weights: w5 =   0.0316 w4 =   0.0267 w3 =  -0.0984 w2 =  -0.3414 w1 =  -0.0063 w0 =   2.8229 Iteration 557: Error Rate = 33.75%
Training weights: w5 =   0.0321 w4 =   0.0227 w3 =  -0.1048 w2 =  -0.3448 w1 =  -0.0099 w0 =   2.8188 Iteration 558: Error Rate = 36.38%
Training weights: w5 =   0.0310 w4 =   0.0287 w3 =  -0.1015 w2 =  -0.3406 w1 =  -0.0134 w0 =   2.8159 Iteration 559: Error Rate = 34.12%
Training weights: w5 =   0.0254 w4 =   0.0296 w3 =  -0.1043 w2 =  -0.3421 w1 =  -0.0128 w0 =   2.8116 Iteration 560: Error Rate = 41.38%
Training weights: w5 =   0.0273 w4 =   0.0289 w3 =  -0.0987 w2 =  -0.3424 w1 =  -0.0105 w0 =   2.8080 Iteration 561: Error Rate = 38.25%
Training weights: w5 =   0.0264 w4 =   0.0291 w3 =  -0.0992 w2 =  -0.3385 w1 =  -0.0164 w0 =   2.8044 Iteration 562: Error Rate = 37.25%
Training weights: w5 =   0.0359 w4 =   0.0341 w3 =  -0.0966 w2 =  -0.3325 w1 =  -0.0181 w0 =   2.8013 Iteration 563: Error Rate = 36.88%
Training weights: w5 =   0.0334 w4 =   0.0276 w3 =  -0.0998 w2 =  -0.3399 w1 =  -0.0242 w0 =   2.7967 Iteration 564: Error Rate = 37.50%
Training weights: w5 =   0.0351 w4 =   0.0357 w3 =  -0.0905 w2 =  -0.3322 w1 =  -0.0180 w0 =   2.7941 Iteration 565: Error Rate = 37.62%
Training weights: w5 =   0.0321 w4 =   0.0377 w3 =  -0.0924 w2 =  -0.3298 w1 =  -0.0167 w0 =   2.7902 Iteration 566: Error Rate = 40.12%
Training weights: w5 =   0.0319 w4 =   0.0283 w3 =  -0.0968 w2 =  -0.3405 w1 =  -0.0182 w0 =   2.7850 Iteration 567: Error Rate = 41.50%
Training weights: w5 =   0.0318 w4 =   0.0237 w3 =  -0.0994 w2 =  -0.3451 w1 =  -0.0256 w0 =   2.7811 Iteration 568: Error Rate = 33.12%
Training weights: w5 =   0.0325 w4 =   0.0286 w3 =  -0.0974 w2 =  -0.3413 w1 =  -0.0236 w0 =   2.7776 Iteration 569: Error Rate = 38.62%
Training weights: w5 =   0.0340 w4 =   0.0299 w3 =  -0.0978 w2 =  -0.3386 w1 =  -0.0221 w0 =   2.7743 Iteration 570: Error Rate = 34.88%
Training weights: w5 =   0.0261 w4 =   0.0360 w3 =  -0.0973 w2 =  -0.3367 w1 =  -0.0218 w0 =   2.7707 Iteration 571: Error Rate = 38.50%
Training weights: w5 =   0.0170 w4 =   0.0266 w3 =  -0.1015 w2 =  -0.3419 w1 =  -0.0182 w0 =   2.7665 Iteration 572: Error Rate = 35.75%
Training weights: w5 =   0.0224 w4 =   0.0305 w3 =  -0.1002 w2 =  -0.3372 w1 =  -0.0128 w0 =   2.7634 Iteration 573: Error Rate = 37.12%
Training weights: w5 =   0.0292 w4 =   0.0313 w3 =  -0.0983 w2 =  -0.3351 w1 =  -0.0144 w0 =   2.7601 Iteration 574: Error Rate = 37.62%
Training weights: w5 =   0.0293 w4 =   0.0288 w3 =  -0.0987 w2 =  -0.3388 w1 =  -0.0189 w0 =   2.7559 Iteration 575: Error Rate = 38.25%
Training weights: w5 =   0.0264 w4 =   0.0309 w3 =  -0.0954 w2 =  -0.3394 w1 =  -0.0231 w0 =   2.7523 Iteration 576: Error Rate = 37.25%
Training weights: w5 =   0.0257 w4 =   0.0279 w3 =  -0.0929 w2 =  -0.3406 w1 =  -0.0136 w0 =   2.7485 Iteration 577: Error Rate = 39.00%
Training weights: w5 =   0.0304 w4 =   0.0317 w3 =  -0.0916 w2 =  -0.3384 w1 =  -0.0162 w0 =   2.7452 Iteration 578: Error Rate = 36.38%
Training weights: w5 =   0.0300 w4 =   0.0272 w3 =  -0.0931 w2 =  -0.3387 w1 =  -0.0211 w0 =   2.7414 Iteration 579: Error Rate = 37.00%
Training weights: w5 =   0.0320 w4 =   0.0311 w3 =  -0.0871 w2 =  -0.3352 w1 =  -0.0207 w0 =   2.7379 Iteration 580: Error Rate = 40.88%
Training weights: w5 =   0.0277 w4 =   0.0289 w3 =  -0.0860 w2 =  -0.3343 w1 =  -0.0206 w0 =   2.7342 Iteration 581: Error Rate = 37.38%
Training weights: w5 =   0.0255 w4 =   0.0267 w3 =  -0.0882 w2 =  -0.3352 w1 =  -0.0231 w0 =   2.7302 Iteration 582: Error Rate = 38.00%
Training weights: w5 =   0.0275 w4 =   0.0289 w3 =  -0.0884 w2 =  -0.3312 w1 =  -0.0173 w0 =   2.7268 Iteration 583: Error Rate = 37.75%
Training weights: w5 =   0.0281 w4 =   0.0266 w3 =  -0.0929 w2 =  -0.3268 w1 =  -0.0148 w0 =   2.7227 Iteration 584: Error Rate = 41.62%
Training weights: w5 =   0.0290 w4 =   0.0210 w3 =  -0.0965 w2 =  -0.3317 w1 =  -0.0217 w0 =   2.7184 Iteration 585: Error Rate = 37.12%
Training weights: w5 =   0.0271 w4 =   0.0217 w3 =  -0.0981 w2 =  -0.3312 w1 =  -0.0146 w0 =   2.7148 Iteration 586: Error Rate = 37.25%
Training weights: w5 =   0.0372 w4 =   0.0241 w3 =  -0.0905 w2 =  -0.3263 w1 =  -0.0102 w0 =   2.7117 Iteration 587: Error Rate = 38.88%
Training weights: w5 =   0.0308 w4 =   0.0259 w3 =  -0.0908 w2 =  -0.3304 w1 =  -0.0133 w0 =   2.7079 Iteration 588: Error Rate = 34.50%
Training weights: w5 =   0.0312 w4 =   0.0315 w3 =  -0.0897 w2 =  -0.3260 w1 =  -0.0116 w0 =   2.7046 Iteration 589: Error Rate = 37.12%
Training weights: w5 =   0.0305 w4 =   0.0225 w3 =  -0.0922 w2 =  -0.3322 w1 =  -0.0163 w0 =   2.6999 Iteration 590: Error Rate = 38.38%
Training weights: w5 =   0.0264 w4 =   0.0231 w3 =  -0.0905 w2 =  -0.3343 w1 =  -0.0206 w0 =   2.6962 Iteration 591: Error Rate = 38.00%
Training weights: w5 =   0.0282 w4 =   0.0214 w3 =  -0.0925 w2 =  -0.3335 w1 =  -0.0211 w0 =   2.6926 Iteration 592: Error Rate = 36.75%
Training weights: w5 =   0.0289 w4 =   0.0281 w3 =  -0.0871 w2 =  -0.3273 w1 =  -0.0144 w0 =   2.6898 Iteration 593: Error Rate = 37.75%
Training weights: w5 =   0.0277 w4 =   0.0214 w3 =  -0.0926 w2 =  -0.3305 w1 =  -0.0205 w0 =   2.6855 Iteration 594: Error Rate = 36.88%
Training weights: w5 =   0.0302 w4 =   0.0303 w3 =  -0.0877 w2 =  -0.3244 w1 =  -0.0195 w0 =   2.6826 Iteration 595: Error Rate = 37.62%
Training weights: w5 =   0.0287 w4 =   0.0252 w3 =  -0.0955 w2 =  -0.3288 w1 =  -0.0247 w0 =   2.6782 Iteration 596: Error Rate = 36.50%
Training weights: w5 =   0.0301 w4 =   0.0261 w3 =  -0.0912 w2 =  -0.3245 w1 =  -0.0189 w0 =   2.6747 Iteration 597: Error Rate = 41.62%
Training weights: w5 =   0.0270 w4 =   0.0290 w3 =  -0.0872 w2 =  -0.3225 w1 =  -0.0174 w0 =   2.6712 Iteration 598: Error Rate = 37.38%
Training weights: w5 =   0.0308 w4 =   0.0277 w3 =  -0.0872 w2 =  -0.3226 w1 =  -0.0212 w0 =   2.6673 Iteration 599: Error Rate = 38.38%
Training weights: w5 =   0.0249 w4 =   0.0236 w3 =  -0.0941 w2 =  -0.3249 w1 =  -0.0186 w0 =   2.6630 Iteration 600: Error Rate = 40.12%
Training weights: w5 =   0.0229 w4 =   0.0238 w3 =  -0.0956 w2 =  -0.3235 w1 =  -0.0188 w0 =   2.6593 Iteration 601: Error Rate = 37.38%
Training weights: w5 =   0.0248 w4 =   0.0232 w3 =  -0.0940 w2 =  -0.3225 w1 =  -0.0216 w0 =   2.6556 Iteration 602: Error Rate = 34.62%
Training weights: w5 =   0.0281 w4 =   0.0251 w3 =  -0.0939 w2 =  -0.3196 w1 =  -0.0232 w0 =   2.6523 Iteration 603: Error Rate = 35.62%
Training weights: w5 =   0.0313 w4 =   0.0321 w3 =  -0.0872 w2 =  -0.3157 w1 =  -0.0134 w0 =   2.6496 Iteration 604: Error Rate = 37.12%
Training weights: w5 =   0.0300 w4 =   0.0306 w3 =  -0.0888 w2 =  -0.3191 w1 =  -0.0137 w0 =   2.6454 Iteration 605: Error Rate = 39.00%
Training weights: w5 =   0.0210 w4 =   0.0291 w3 =  -0.0906 w2 =  -0.3214 w1 =  -0.0127 w0 =   2.6412 Iteration 606: Error Rate = 39.50%
Training weights: w5 =   0.0196 w4 =   0.0331 w3 =  -0.0941 w2 =  -0.3161 w1 =  -0.0137 w0 =   2.6378 Iteration 607: Error Rate = 37.25%
Training weights: w5 =   0.0277 w4 =   0.0380 w3 =  -0.0921 w2 =  -0.3109 w1 =  -0.0055 w0 =   2.6347 Iteration 608: Error Rate = 38.62%
Training weights: w5 =   0.0238 w4 =   0.0359 w3 =  -0.0930 w2 =  -0.3165 w1 =  -0.0171 w0 =   2.6301 Iteration 609: Error Rate = 38.75%
Training weights: w5 =   0.0240 w4 =   0.0324 w3 =  -0.0912 w2 =  -0.3173 w1 =  -0.0170 w0 =   2.6262 Iteration 610: Error Rate = 36.62%
Training weights: w5 =   0.0263 w4 =   0.0269 w3 =  -0.0949 w2 =  -0.3227 w1 =  -0.0277 w0 =   2.6216 Iteration 611: Error Rate = 37.75%
Training weights: w5 =   0.0295 w4 =   0.0251 w3 =  -0.0893 w2 =  -0.3250 w1 =  -0.0298 w0 =   2.6177 Iteration 612: Error Rate = 39.88%
Training weights: w5 =   0.0278 w4 =   0.0273 w3 =  -0.0915 w2 =  -0.3208 w1 =  -0.0199 w0 =   2.6146 Iteration 613: Error Rate = 36.38%
Training weights: w5 =   0.0291 w4 =   0.0297 w3 =  -0.0906 w2 =  -0.3180 w1 =  -0.0218 w0 =   2.6114 Iteration 614: Error Rate = 35.50%
Training weights: w5 =   0.0267 w4 =   0.0337 w3 =  -0.0869 w2 =  -0.3128 w1 =  -0.0229 w0 =   2.6085 Iteration 615: Error Rate = 34.88%
Training weights: w5 =   0.0190 w4 =   0.0314 w3 =  -0.0879 w2 =  -0.3127 w1 =  -0.0184 w0 =   2.6050 Iteration 616: Error Rate = 35.38%
Training weights: w5 =   0.0293 w4 =   0.0303 w3 =  -0.0925 w2 =  -0.3107 w1 =  -0.0213 w0 =   2.6011 Iteration 617: Error Rate = 39.75%
Training weights: w5 =   0.0272 w4 =   0.0172 w3 =  -0.0924 w2 =  -0.3185 w1 =  -0.0185 w0 =   2.5960 Iteration 618: Error Rate = 41.12%
Training weights: w5 =   0.0338 w4 =   0.0252 w3 =  -0.0898 w2 =  -0.3089 w1 =  -0.0073 w0 =   2.5932 Iteration 619: Error Rate = 39.25%
Training weights: w5 =   0.0371 w4 =   0.0244 w3 =  -0.0827 w2 =  -0.3033 w1 =  -0.0099 w0 =   2.5901 Iteration 620: Error Rate = 36.62%
Training weights: w5 =   0.0330 w4 =   0.0210 w3 =  -0.0922 w2 =  -0.3085 w1 =  -0.0178 w0 =   2.5852 Iteration 621: Error Rate = 40.62%
Training weights: w5 =   0.0251 w4 =   0.0198 w3 =  -0.0909 w2 =  -0.3109 w1 =  -0.0259 w0 =   2.5810 Iteration 622: Error Rate = 38.00%
Training weights: w5 =   0.0299 w4 =   0.0262 w3 =  -0.0895 w2 =  -0.3084 w1 =  -0.0201 w0 =   2.5779 Iteration 623: Error Rate = 36.12%
Training weights: w5 =   0.0235 w4 =   0.0171 w3 =  -0.0926 w2 =  -0.3148 w1 =  -0.0250 w0 =   2.5735 Iteration 624: Error Rate = 35.75%
Training weights: w5 =   0.0245 w4 =   0.0232 w3 =  -0.0908 w2 =  -0.3088 w1 =  -0.0171 w0 =   2.5706 Iteration 625: Error Rate = 37.88%
Training weights: w5 =   0.0270 w4 =   0.0228 w3 =  -0.0887 w2 =  -0.3088 w1 =  -0.0203 w0 =   2.5670 Iteration 626: Error Rate = 36.75%
Training weights: w5 =   0.0292 w4 =   0.0221 w3 =  -0.0902 w2 =  -0.3076 w1 =  -0.0183 w0 =   2.5634 Iteration 627: Error Rate = 36.50%
Training weights: w5 =   0.0255 w4 =   0.0251 w3 =  -0.0827 w2 =  -0.3087 w1 =  -0.0154 w0 =   2.5596 Iteration 628: Error Rate = 40.25%
Training weights: w5 =   0.0246 w4 =   0.0210 w3 =  -0.0897 w2 =  -0.3123 w1 =  -0.0214 w0 =   2.5553 Iteration 629: Error Rate = 36.62%
Training weights: w5 =   0.0353 w4 =   0.0215 w3 =  -0.0867 w2 =  -0.3091 w1 =  -0.0203 w0 =   2.5517 Iteration 630: Error Rate = 39.25%
Training weights: w5 =   0.0366 w4 =   0.0256 w3 =  -0.0811 w2 =  -0.3021 w1 =  -0.0203 w0 =   2.5489 Iteration 631: Error Rate = 36.00%
Training weights: w5 =   0.0296 w4 =   0.0240 w3 =  -0.0807 w2 =  -0.3086 w1 =  -0.0232 w0 =   2.5447 Iteration 632: Error Rate = 36.50%
Training weights: w5 =   0.0340 w4 =   0.0238 w3 =  -0.0783 w2 =  -0.3074 w1 =  -0.0191 w0 =   2.5411 Iteration 633: Error Rate = 36.00%
Training weights: w5 =   0.0302 w4 =   0.0183 w3 =  -0.0807 w2 =  -0.3132 w1 =  -0.0176 w0 =   2.5371 Iteration 634: Error Rate = 34.50%
Training weights: w5 =   0.0266 w4 =   0.0166 w3 =  -0.0845 w2 =  -0.3117 w1 =  -0.0197 w0 =   2.5332 Iteration 635: Error Rate = 37.88%
Training weights: w5 =   0.0271 w4 =   0.0210 w3 =  -0.0801 w2 =  -0.3079 w1 =  -0.0150 w0 =   2.5298 Iteration 636: Error Rate = 39.25%
Training weights: w5 =   0.0248 w4 =   0.0209 w3 =  -0.0840 w2 =  -0.3091 w1 =  -0.0195 w0 =   2.5261 Iteration 637: Error Rate = 35.88%
Training weights: w5 =   0.0271 w4 =   0.0235 w3 =  -0.0817 w2 =  -0.3053 w1 =  -0.0151 w0 =   2.5228 Iteration 638: Error Rate = 37.62%
Training weights: w5 =   0.0226 w4 =   0.0162 w3 =  -0.0881 w2 =  -0.3136 w1 =  -0.0203 w0 =   2.5185 Iteration 639: Error Rate = 34.12%
Training weights: w5 =   0.0247 w4 =   0.0170 w3 =  -0.0824 w2 =  -0.3107 w1 =  -0.0157 w0 =   2.5149 Iteration 640: Error Rate = 39.75%
Training weights: w5 =   0.0261 w4 =   0.0198 w3 =  -0.0848 w2 =  -0.3059 w1 =  -0.0153 w0 =   2.5116 Iteration 641: Error Rate = 38.38%
Training weights: w5 =   0.0290 w4 =   0.0214 w3 =  -0.0794 w2 =  -0.3053 w1 =  -0.0160 w0 =   2.5083 Iteration 642: Error Rate = 37.12%
Training weights: w5 =   0.0284 w4 =   0.0220 w3 =  -0.0833 w2 =  -0.3037 w1 =  -0.0172 w0 =   2.5048 Iteration 643: Error Rate = 36.12%
Training weights: w5 =   0.0283 w4 =   0.0247 w3 =  -0.0853 w2 =  -0.3017 w1 =  -0.0194 w0 =   2.5009 Iteration 644: Error Rate = 42.50%
Training weights: w5 =   0.0241 w4 =   0.0234 w3 =  -0.0840 w2 =  -0.3029 w1 =  -0.0179 w0 =   2.4970 Iteration 645: Error Rate = 39.12%
Training weights: w5 =   0.0261 w4 =   0.0281 w3 =  -0.0844 w2 =  -0.3012 w1 =  -0.0116 w0 =   2.4931 Iteration 646: Error Rate = 41.12%
Training weights: w5 =   0.0217 w4 =   0.0280 w3 =  -0.0904 w2 =  -0.3050 w1 =  -0.0135 w0 =   2.4890 Iteration 647: Error Rate = 37.38%
Training weights: w5 =   0.0224 w4 =   0.0206 w3 =  -0.0926 w2 =  -0.3086 w1 =  -0.0129 w0 =   2.4846 Iteration 648: Error Rate = 38.75%
Training weights: w5 =   0.0226 w4 =   0.0238 w3 =  -0.0881 w2 =  -0.3061 w1 =  -0.0126 w0 =   2.4816 Iteration 649: Error Rate = 33.75%
Training weights: w5 =   0.0266 w4 =   0.0314 w3 =  -0.0813 w2 =  -0.2990 w1 =  -0.0127 w0 =   2.4787 Iteration 650: Error Rate = 37.12%
